episode,n,mult,agent_rays,baseline_rays,gap,resolved
604,2,15,7,2,5,1
605,2,6,5,5,0,1
606,2,5,2,2,0,1
607,3,14,12,10,2,1
608,3,10,2,2,0,1
609,2,11,6,2,4,1
610,3,9,1,1,0,1
611,2,18,17,17,0,1
612,2,8,3,3,0,1
613,3,15,19,8,11,1
614,3,4,1,1,0,1
615,2,7,3,3,0,1
616,3,15,11,5,6,1
617,3,10,3,3,0,1
618,3,3,2,2,0,1
619,2,12,11,11,0,1
620,3,14,17,13,4,1
621,3,17,9,8,1,1
622,2,10,1,1,0,1
623,2,2,1,1,0,1
624,2,17,4,4,0,1
625,3,9,8,8,0,1
626,2,9,2,2,0,1
627,3,9,8,8,0,1
628,3,11,2,2,0,1
629,2,16,4,4,0,1
630,2,15,7,7,0,1
631,3,9,5,4,1,1
632,3,17,4,4,0,1
633,2,4,3,3,0,1
634,3,19,38,7,31,1
635,2,4,1,1,0,1
636,2,5,2,2,0,1
637,2,13,3,3,0,1
638,2,12,3,3,0,1
639,2,7,1,1,0,1
640,2,5,2,2,0,1
641,3,5,4,4,0,1
642,3,19,38,7,31,1
643,3,4,1,1,0,1
644,3,17,37,8,29,1
645,2,15,14,14,0,1
646,2,11,5,5,0,1
647,2,12,3,3,0,1
648,3,9,5,5,0,1
649,3,9,10,8,2,1
650,2,7,2,2,0,1
651,2,7,3,3,0,1
652,3,6,5,5,0,1
653,3,8,4,4,0,1
654,3,18,21,17,4,1
655,3,13,2,2,0,1
656,2,18,3,3,0,1
657,3,13,5,4,1,1
658,3,14,20,10,10,1
659,3,6,3,3,0,1
660,2,18,4,4,0,1
661,3,9,4,3,1,1
662,3,5,2,2,0,1
663,2,11,10,10,0,1
664,3,8,8,7,1,1
665,3,20,14,10,4,1
666,3,11,12,10,2,1
667,2,4,3,3,0,1
668,3,13,31,8,23,1
669,3,3,1,1,0,1
670,3,11,6,5,1,1
671,2,10,3,3,0,1
672,2,4,3,3,0,1
